diet_type,item_no,name,category,meal,ingredients,serving_size,calories,cholesterol (mg),total_fats (g),protein (g),carbohydrates (g),sugar (g),calcium,sodium (mg),potassium (mg),glucose
Veg,1,Aloo Paratha,Bread,Breakfast,"cilantro, green chilie, potato, ginger, cumin, chili powder, paratha, masala",1 piece(131g),300,0.8,11,6.1,46,4.2,,370,316,
Veg,2,Plain Rice,Rice,Lunch,"Water, salt",1 cup(158g),205,0,0.4,4.3,45,0.1,,1.6,55,
Non-veg,3,Indian Chilli Chicken,Poultry,Lunch,"soy sauce ,garlic ,corn flour,egg, green chili pepper,fresh ginger, chili powder,boneless chicken, curry powder, curry powder,green bell pepper",1 cup(214g),277,90,12,21,21,4.4,,355,466,
Veg,4,Aloo Jeera,Vegetable,Lunch,"salt, cilantro, jalapeno pepper, potato, lemon juice, chili powder, turmeric, cumin seed",1 cup(143g),172,0,5.6,3.5,28,1.8,,315,727,
Veg,5,Aloo Gobi,Vegetable,Dinner,"salt, peanut oil, cauliflower, cilantro, potato, fresh ginger, cumin, turmeric, water, serrano pepper, coriander",1 cup(155g),111,0,5.5,2.5,15,1.7,,230,390,
Veg,6,Dal,Vegetable,Lunch,"olive oil, salt, tomato, garlic, cilantro, jalapeno, onion, ginger, turmeric, cardamom, cumin seed, red lentil",1 cup (214g),222,0,4.2,14,34,4.5,,431,713,
Veg,7,Dal,Vegetable,Dinner,"olive oil, salt, tomato, garlic, cilantro, jalapeno, onion, ginger, turmeric, cardamom, cumin seed, red lentil",1 cup (214g),222,0,4.2,14,34,4.5,,431,713,
Veg,8,Lauki Sabji,Vegetable,Lunch ,"salt,tomatoe, onion, oil ,chili powder,  turmeric,cumin seed, garam masala, garlic paste,calabash gourd",1 cup (239g),69,0,2.7,1.9,11,2.5,,166,459,
Veg,9,Plain Rice,Rice,Dinner,"Water, salt",1 cup(158g),205,0,0.4,4.3,45,0.1,,1.6,55,
Veg,10,Palak Paneer,Vegetable,Dinner,"salt,spinach, jalapeno,onion,fresh ginger,paneer,bay leaf, fenugreek,cumin seed, garam masala,light cream,oil,pepper",1 cup (200g),366,56,30,15,10,0.55,,871,559,
Non-veg,11,Chicken tikka masala,Poultry,Lunch,"salt, yogurt, cream, tomato sauce, butter, garlic, cilantro, cinnamon, jalapeno, ginger, lemon juice, black pepper, cumin, paprika, chicken breast, cayenne pepper ",1 cup(236g),354,166.5,21.5,33,9.5,5.5,,2072,748,
Veg,12,Potato Sabji,Vegetable,Dinner,"salt, cilantro,jalapeno, onion,potatoe, vegetable oil,chili powder,turmeric,fenugreek,garlic paste",1 cup (160g),141,0,2.7,3.5,27,3.5,,217,642,
Non-veg,13,Fish Curry,Seafood,Dinner ,"cashews ,canola oil ,salt ,tomato ,garlic ,cilantro ,onion, fresh ginger ,vegetable broth ,cumin ,white fish ,spice coriander, cayenne ",1 serving(210g),307,109,15,36,6.1,2.7,,745,711,
Veg,14,Aloo Masala,Vegetable,Dinner,"olive oil, tomato, garlic, cilantro, onion, potato, ginger root, bay leave, chili powder, turmeric, masala, chili pepper, coriander",1 cup(195g),242,0,14,3.8,27,4.5,,41,724,
Veg,15,Saag Aloo,Vegetable,Lunch,"garlic, onion, potato, fresh ginger, raw spinach, vegetable oil, cumin, turmeric, garam masala",1 cup(195g),160,0,6.7,4.9,23,2.3,,80,968,
Veg,16,Aloo Naan,Bread,Breakfast,"cilantro, green chilie, potato, ginger, cumin, chili powder, paratha, masala",1 piece(131g),300,0,11,6.1,46,4.2,,370,316,
Veg,17,Aloo Curry,Curry,Lunch,"salt, tomato, jalapeno, onion, potatoes, vegetable oil, cumin, chili powder, turmeric, fenugreek, water, garlic paste, coriander",1 cup(238g),204,0,13,2.9,21,4.7,,331,550,
Veg,18,Aloo Tikka,Starters,Lunch,"flour, cream, potatoes, oil, chili powder, turmeric, garam masala, whole milk yogurt, coriander, ginger garlic paste",1 cup(121g),229,17,17,3.5,18,2.6,,85,445,
Veg,19,Baingan Bharta,Vegetable,Lunch,"salt, tomato, garlic clove, cilantro, eggplant, jalapeno, onion, vegetable oil, lime juice, turmeric, garam masala",1 cup(234g),117,0,5.6,2.1,17,7,,356,385,
Veg,20,Mutter Panner,Curry,Dinner,"tomatoe, clove, garlic, green chilie, onion, green pea, ginger, oil, paneer, chili powder, turmeric, ground coriander, cumin seed, masala, water",1 serving(440g),599,69,46,23,25,9.2,,1026,455,
Veg,21,Saag Paneer,Vegetable,Lunch,"salt, spinach, jalapeno, onion, fresh ginger, sugar, oil, pepper, paneer, bay leaf, fenugreek, cumin seed, garam masala, light cream",1 cup(200g),366,56,30,15,10,4.5,,871,559,
Veg,22,Paneer Kabab,Starters,Dinner,"marinade, onion, green bell pepper, paneer, red bell pepper",1 skewer(178g),280,41,21,13,12,6.9,,1074,313,
Veg,23,Matar Paneer,Curry,Lunch,"tomatoe, garlic, green chilie, onion, green pea, ginger, oil, paneer, chili powder, turmeric, ground coriander, cumin seed, masala, water",1 serving(440g),599,69,46,23,25,9.2,,1026,455,
Veg,24,Paneer Korma,Curry,Dinner,"curry sauce, paneer",1 cup(236g),367,62,29,17,10,4.1,,633,265,
Veg,25,Shahi Paneer,Curry,Lunch,"salt, tomato, heavy cream, garlic, clove, cilantro, onion, white sugar, oil, paneer, ground cumin, chili powder, ground turmeric, ground coriander, water",1 cup(242g),310,52,25,12,12,7.2,,555,444,
